TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
7,,,,"7. Click Price button","7. System should trigger UW-418 blocking error",,,,,,
7,,,,"8. Verify UW-418 error message is displayed","8. User should see error message UW-418 indicating that ZC 3676 is required in Umbrella when ZC 3339 is present in GL",,,,,,
7,,,,"9. Verify Quote button is disabled","9. User should not be able to proceed to Quote stage",,,,,,
8,Manual,"TC08_Verify UW-418 Not Triggered When Both Exclusions Present_Casualty_New Business_AC5","The objective of this test case is to validate that UW-418 is NOT triggered when both ZC 3339 and ZC 3676 are properly present","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
8,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
8,,,,"3. Navigate to Umbrella sub-line screen and verify ZC 3676 is auto-added","3. User should see ZC 3676 automatically added to Umbrella",,,,,,
8,,,,"4. Fill all mandatory fields in all required screens","4. User should be able to complete all mandatory field entries",,,,,,
8,,,,"5. Click Price button","5. System should process pricing without UW-418 error",,,,,,
8,,,,"6. Verify pricing is successful and UW-418 is not triggered","6. User should see pricing completed successfully without UW-418 blocking error",,,,,,
8,,,,"7. Click Quote button","7. User should be able to proceed to Quote stage",,,,,,
8,,,,"8. Verify quote document is generated successfully","8. User should see the quote document generated and displayed",,,,,,
9,Manual,"TC09_Verify Exclusion Auto-Application for Produced Scope_Casualty_New Business_AC1","The objective of this test case is to validate that ZC 3676 is auto-added in Produced scope when ZC 3339 is added to GL","1. Initiate a Produced submission with casualty LOB","1. User should be able to create a Produced submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
9,,,,"2. Navigate to Line selection screen and select GL and Umbrella LOBs","2. User should be able to select both GL and Umbrella LOBs for Produced scope",,,,,,
9,,,,"3. Navigate to GL Exposures screen and add ZC 3339 exclusion","3. User should be able to add ZC 3339 exclusion to GL in Produced scope",,,,,,
9,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
9,,,,"5. Verify ZC 3676 is auto-added as suggested exclusion","5. User should see ZC 3676 automatically added to Umbrella in Produced scope",,,,,,
10,Manual,"TC10_Verify Exclusion Consistency for Policy Change - Inception_Casualty_Policy Change - Inception_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Inception when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
10,,,,"2. Initiate a Policy Change - Inception transaction","2. User should be able to create a Policy Change - Inception transaction",,,,,,
10,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
10,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
10,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
10,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
10,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
11,Manual,"TC11_Verify Exclusion Consistency for Policy Change - Midterm_Casualty_Policy Change - Midterm_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Midterm when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
11,,,,"2. Initiate a Policy Change - Midterm transaction","2. User should be able to create a Policy Change - Midterm transaction",,,,,,
11,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
11,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
11,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
11,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
11,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
12,Manual,"TC12_Verify Exclusion Consistency for Policy Change - Out of Sequence_Casualty_Policy Change - Out of Sequence_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Out of Sequence when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
12,,,,"2. Initiate a Policy Change - Out of Sequence transaction","2. User should be able to create a Policy Change - Out of Sequence transaction",,,,,,
12,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
12,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
12,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
12,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
12,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
13,Manual,"TC13_Verify Exclusion Consistency for Policy Change - Preemption_Casualty_Policy Change - Preemption_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Preemption when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
13,,,,"2. Initiate a Policy Change - Preemption transaction","2. User should be able to create a Policy Change - Preemption transaction",,,,,,
13,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
13,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
13,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
13,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
13,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
14,Manual,"TC14_Verify Exclusion Consistency for Cancel - Flat_Casualty_Cancel - Flat_AC1","The objective of this test case is to validate that exclusion consistency is maintained during Cancel - Flat transaction","1. Load an existing policy with both ZC 3339 and ZC 3676","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
14,,,,"2. Initiate a Cancel - Flat transaction","2. User should be able to create a Cancel - Flat transaction",,,,,,
14,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
14,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen with existing ZC 3676",,,,,,
14,,,,"5. Verify exclusion consistency is maintained","5. User should see that ZC 3676 remains present and consistent with ZC 3339",,,,,,
14,,,,"6. Fill mandatory fields and Price the cancellation","6. User should be able to price the cancellation successfully",,,,,,
15,Manual,"TC15_Verify Exclusion Consistency for Cancel - Pro rata & Short rate_Casualty_Cancel - Pro rata & Short rate_AC1","The objective of this test case is to validate that exclusion consistency is maintained during Cancel - Pro rata & Short rate transaction","1. Load an existing policy with both ZC 3339 and ZC 3676","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
15,,,,"2. Initiate a Cancel - Pro rata & Short rate transaction","2. User should be able to create a Cancel - Pro rata & Short rate transaction",,,,,,
15,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
15,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen with existing ZC 3676",,,,,,
15,,,,"5. Verify exclusion consistency is maintained","5. User should see that ZC 3676 remains present and consistent with ZC 3339",,,,,,
15,,,,"6. Fill mandatory fields and Price the cancellation","6. User should be able to price the cancellation successfully",,,,,,
16,Manual,"TC16_Verify Exclusion Consistency for Reinstatement_Casualty_Reinstatement_AC1","The objective of this test case is to validate that exclusion consistency is maintained during Reinstatement transaction","1. Load a cancelled policy with both ZC 3339 and ZC 3676","1. User should be able to load the cancelled policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
16,,,,"2. Initiate a Reinstatement transaction","2. User should be able to create a Reinstatement transaction",,,,,,
16,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
16,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen with existing ZC 3676",,,,,,
16,,,,"5. Verify exclusion consistency is maintained","5. User should see that ZC 3676 remains present and consistent with ZC 3339",,,,,,
16,,,,"6. Fill mandatory fields and Price the reinstatement","6. User should be able to price the reinstatement successfully",,,,,,
17,Manual,"TC17_Verify Exclusion Consistency for Rewrite Full Term_Casualty_Rewrite Full Term_AC1","The objective of this test case is to validate that exclusion consistency is maintained during Rewrite Full Term transaction","1. Load an existing policy with both ZC 3339 and ZC 3676","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
17,,,,"2. Initiate a Rewrite Full Term transaction","2. User should be able to create a Rewrite Full Term transaction",,,,,,
17,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
17,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen with existing ZC 3676",,,,,,
17,,,,"5. Verify exclusion consistency is maintained","5. User should see that ZC 3676 remains present and consistent with ZC 3339",,,,,,
17,,,,"6. Fill mandatory fields and Price the rewrite","6. User should be able to price the rewrite successfully",,,,,,
18,Manual,"TC18_Verify VAL-559 Resolution and Successful Pricing_Casualty_New Business_AC4","The objective of this test case is to validate that pricing succeeds after resolving duplicate schedule items","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
18,,,,"2. Navigate to GL Exposures screen and add ZC 3339 with schedule items","2. User should be able to add ZC 3339 exclusion with schedule items to GL",,,,,,
18,,,,"3. Navigate to Umbrella sub-line screen and add ZC 3676 with duplicate items","3. User should be able to add ZC 3676 with duplicate schedule items",,,,,,
18,,,,"4. Click Price button and receive VAL-559 error","4. System should trigger VAL-559 validation error",,,,,,
18,,,,"5. Resolve duplicate schedule items in GL and Umbrella","5. User should be able to remove duplicate items and reconcile schedule items",,,,,,
18,,,,"6. Click Price button again","6. System should process pricing successfully",,,,,,
18,,,,"7. Verify pricing is completed without errors","7. User should see pricing completed successfully and UW-418 is not triggered",,,,,,
19,Manual,"TC19_Verify UW-418 Resolution by Adding ZC 3676_Casualty_New Business_AC5","The objective of this test case is to validate that UW-418 error is resolved when ZC 3676 is added to Umbrella","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
19,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
19,,,,"3. Navigate to Umbrella sub-line screen and remove ZC 3676","3. User should be able to remove the suggested ZC 3676 exclusion",,,,,,
19,,,,"4. Fill all mandatory fields and Click Price button","4. System should trigger UW-418 blocking error",,,,,,
19,,,,"5. Navigate to Umbrella sub-line screen and add ZC 3676 back","5. User should be able to add ZC 3676 exclusion back to Umbrella",,,,,,
19,,,,"6. Click Price button again","6. System should process pricing successfully",,,,,,
19,,,,"7. Verify pricing is completed and UW-418 is resolved","7. User should see pricing completed successfully without UW-418 error",,,,,,
20,Manual,"TC20_Verify No Impact on Other Exclusions When ZC 3339 Added_Casualty_New Business_AC1","The objective of this test case is to validate that adding ZC 3339 does not affect other exclusions in GL and Umbrella","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
20,,,,"2. Navigate to GL Exposures screen and add other exclusions","2. User should be able to add various exclusions to GL",,,,,,
20,,,,"3. Add ZC 3339 exclusion to GL","3. User should be able to add ZC 3339 exclusion successfully",,,,,,
20,,,,"4. Navigate to Umbrella sub-line screen and verify other exclusions remain","4. User should see other exclusions unchanged in Umbrella",,,,,,
20,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
20,,,,"6. Verify total exclusion count is accurate","6. User should verify that all exclusions are present (other exclusions + ZC 3676)",,,,,,
21,Manual,"TC21_Verify Exclusion Auto-Application with Multiple GL Exposures_Casualty_New Business_AC1","The objective of this test case is to validate that ZC 3676 is auto-added in Umbrella when ZC 3339 is in multiple GL exposures","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
21,,,,"2. Navigate to GL Exposures screen","2. User should be able to view the GL Exposures screen",,,,,,
21,,,,"3. Add multiple GL exposures with ZC 3339 in each","3. User should be able to add ZC 3339 exclusion to each GL exposure",,,,,,
21,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
21,,,,"5. Verify ZC 3676 is auto-added in Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
21,,,,"6. Verify ZC 3676 links to all GL exposures with ZC 3339","6. User should verify that ZC 3676 is linked to all GL exposures containing ZC 3339",,,,,,
22,Manual,"TC22_Verify System Handles ZC 3339 without Umbrella LOB_Casualty_New Business_AC2","The objective of this test case is to validate that system behavior when ZC 3339 is added to GL but Umbrella LOB is not selected","1. Initiate a Domestic submission with casualty LOB","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
22,,,,"2. Navigate to Line selection screen and select only GL LOB","2. User should be able to select GL LOB only",,,,,,
22,,,,"3. Navigate to GL Exposures screen and add ZC 3339 exclusion","3. User should be able to add ZC 3339 exclusion to GL",,,,,,
22,,,,"4. Fill all mandatory fields and Price the policy","4. User should be able to price the policy successfully",,,,,,
22,,,,"5. Verify no validation errors related to missing ZC 3676","5. User should not see UW-418 error as Umbrella is not selected",,,,,,
23,Manual,"TC23_Verify Edit Mode - Restore ZC 3676 After Removal_Casualty_New Business_AC3","The objective of this test case is to validate that ZC 3676 is restored when re-adding ZC 3339 after removal in edit mode","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
23,,,,"2. Navigate to GL Exposures screen and add ZC 3339","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
23,,,,"3. Navigate to Umbrella and verify ZC 3676 is auto-added","3. User should see ZC 3676 automatically added",,,,,,
23,,,,"4. Navigate back to GL and remove ZC 3339","4. User should be able to remove ZC 3339",,,,,,
23,,,,"5. Navigate to Umbrella and verify ZC 3676 is removed","5. User should see ZC 3676 removed automatically",,,,,,
23,,,,"6. Navigate back to GL and add ZC 3339 again","6. User should be able to add ZC 3339 exclusion again",,,,,,
23,,,,"7. Navigate to Umbrella and verify ZC 3676 is restored","7. User should see ZC 3676 automatically restored to Umbrella",,,,,,
24,Manual,"TC24_Verify Exclusion Consistency After Quote Generation_Casualty_New Business_AC1","The objective of this test case is to validate that exclusion consistency is maintained after quote document generation","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
24,,,,"2. Navigate to GL Exposures screen and add ZC 3339","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
24,,,,"3. Navigate to Umbrella and verify ZC 3676 is auto-added","3. User should see ZC 3676 automatically added",,,,,,
24,,,,"4. Fill all mandatory fields and Price the policy","4. User should be able to price successfully",,,,,,
24,,,,"5. Navigate to Update screen and update Quoted Premium","5. User should be able to update the Quoted Premium",,,,,,
24,,,,"6. Click Quote button to generate quote document","6. User should be able to generate quote document successfully",,,,,,
24,,,,"7. Verify exclusions are reflected in quote document","7. User should see both ZC 3339 in GL and ZC 3676 in Umbrella in the quote document",,,,,,
25,Manual,"TC25_Verify Exclusion Consistency After Policy Binding_Casualty_New Business_AC1","The objective of this test case is to validate that exclusion consistency is maintained after policy binding","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
25,,,,"2. Navigate to GL Exposures screen and add ZC 3339","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
25,,,,"3. Navigate to Umbrella and verify ZC 3676 is auto-added","3. User should see ZC 3676 automatically added",,,,,,
25,,,,"4. Fill all mandatory fields and Price the policy","4. User should be able to price successfully",,,,,,
25,,,,"5. Navigate to Update screen and update Premium information","5. User should be able to update Premium information",,,,,,
25,,,,"6. Navigate to Audit screen and complete audit","6. User should be able to complete audit screen",,,,,,
25,,,,"7. Click Bind button to bind the policy","7. User should be able to bind the policy successfully",,,,,,
25,,,,"8. Verify exclusions are maintained in bound policy","8. User should see both ZC 3339 and ZC 3676 in the bound policy",,,,,,
26,Manual,"TC26_Verify VAL-559 with Exact Matching Schedule Items_Casualty_New Business_AC4","The objective of this test case is to validate that pricing succeeds when schedule items match exactly between ZC 3339 and ZC 3676","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
26,,,,"2. Navigate to GL Exposures screen and add ZC 3339 with specific schedule items","2. User should be able to add ZC 3339 with exact schedule items to GL",,,,,,
26,,,,"3. Navigate to Umbrella and add ZC 3676 with matching schedule items","3. User should be able to add ZC 3676 with identical schedule items in Umbrella",,,,,,
26,,,,"4. Fill all mandatory fields and Price the policy","4. User should be able to price successfully without VAL-559 error",,,,,,
26,,,,"5. Verify pricing is completed successfully","5. User should see pricing completed without validation errors",,,,,,
27,Manual,"TC27_Verify Error Handling When ZC 3339 Data is Corrupted_Casualty_New Business_AC1","The objective of this test case is to validate system error handling when ZC 3339 data is corrupted or incomplete","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,Medium,Negative
27,,,,"2. Navigate to GL Exposures screen and add ZC 3339 with incomplete data","2. User should be able to add ZC 3339 but with validation warnings",,,,,,
27,,,,"3. Navigate to Umbrella sub-line screen","3. User should be able to view the Umbrella sub-line screen",,,,,,
27,,,,"4. Verify system handles ZC 3676 auto-application gracefully","4. System should attempt to add ZC 3676 or display appropriate error message",,,,,,
27,,,,"5. Verify system provides meaningful error messages","5. User should see clear error messages guiding resolution",,,,,,
28,Manual,"TC28_Verify Rapid Toggle of Exclusions_Casualty_New Business_AC3","The objective of this test case is to validate system stability when rapidly toggling ZC 3339 on and off","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,Medium,Positive
